1;01;ozan;OZAN;ozan;Ozan;O250;OSN;1190;618;4.91667;46.3833
2;01;cormoranche-sur-saone;CORMORANCHE-SUR-SAONE;cormoranche sur saone;Cormoranche-sur-Saône;C65652625;KRMRNXSRSN;1290;1058;4.83333;46.2333
3;01;plagne-01;PLAGNE;plagne;Plagne;P425;PLKN;1130;129;5.73333;46.1833
4;01;tossiat;TOSSIAT;tossiat;Tossiat;T230;TST;1250;1406;5.31667;46.1333
5;01;pouillat;POUILLAT;pouillat;Pouillat;P430;PLT;1250;88;5.43333;46.3333
6;01;torcieu;TORCIEU;torcieu;Torcieu;T620;TRS;1230;698;5.4;45.9167
7;01;replonges;REPLONGES;replonges;Replonges;R1452;RPLNJS;1620;3500;4.88333;46.3
8;01;corcelles;CORCELLES;corcelles;Corcelles;C6242;KRSLS;1110;243;5.58333;46.0333
9;01;peron;PERON;peron;Péron;P650;PRN;1630;2143;5.93333;46.2
10;01;relevant;RELEVANT;relevant;Relevant;R4153;RLFNT;1990;466;4.95;46.0833
11;01;chaveyriat;CHAVEYRIAT;chaveyriat;Chaveyriat;C163;XFRT;1660;927;5.06667;46.1833
12;01;vaux-en-bugey;VAUX-EN-BUGEY;vaux en bugey;Vaux-en-Bugey;V2512;FKSNBJ;1150;1169;5.35;45.9167
13;01;maillat;MAILLAT;maillat;Maillat;M430;MLT;1430;668;5.55;46.1333
14;01;faramans-01;FARAMANS;faramans;Faramans;F652;FRMNS;1800;681;5.11667;45.9
15;01;beon-01;BEON;beon;Béon;B500;BN;1350;373;5.75;45.8333
16;01;saint-bernard-01;SAINT-BERNARD;saint bernard;Saint-Bernard;S5316563;SNTBRNRT;1600;1375;4.73723;45.945
17;01;rossillon;ROSSILLON;rossillon;Rossillon;R245;RSLN;1510;148;5.6;45.8333
18;01;pont-d-ain;PONT-D'AIN;pont d ain;Pont-d'Ain;P535;PNTTN;1160;2627;5.33333;46.05
19;01;nantua;NANTUA;nantua;Nantua;N300;NNT;1460;3713;5.61667;46.15
20;01;chavannes-sur-reyssouze;CHAVANNES-SUR-REYSSOUZE;chavannes sur reyssouze;Chavannes-sur-Reyssouze;C15262;XFNSSRRSS;1190;680;5;46.4333
21;01;neuville-les-dames;NEUVILLE-LES-DAMES;neuville les dames;Neuville-les-Dames;N142352;NFLLSTMS;1400;1504;5;46.1667
22;01;flaxieu;FLAXIEU;flaxieu;Flaxieu;F420;FLKS;1350;63;5.73333;45.8167
23;01;hotonnes;HOTONNES;hotonnes;Hotonnes;H352;HTNS;1260;306;5.68333;46
24;01;saint-sorlin-en-bugey;SAINT-SORLIN-EN-BUGEY;saint sorlin en bugey;Saint-Sorlin-en-Bugey;S53264512;SNTSRLNNBJ;1150;1061;5.36667;45.8833
25;01;songieu;SONGIEU;songieu;Songieu;S520;SNJ;1260;130;5.7;45.9667
26;01;virieu-le-petit;VIRIEU-LE-PETIT;virieu le petit;Virieu-le-Petit;V6413;FRLPTT;1260;309;5.71667;45.9
27;01;saint-denis-en-bugey;SAINT-DENIS-EN-BUGEY;saint denis en bugey;Saint-Denis-en-Bugey;S5352512;SNTTNSNBJ;1500;2178;5.33333;45.95
28;01;charnoz-sur-ain;CHARNOZ-SUR-AIN;charnoz sur ain;Charnoz-sur-Ain;C65265;XRNSSRN;1800;911;5.21667;45.8667
29;01;chazey-sur-ain;CHAZEY-SUR-AIN;chazey sur ain;Chazey-sur-Ain;C650;XSSRN;1150;1464;5.25;45.9
30;01;marchamp;MARCHAMP;marchamp;Marchamp;M6251;MRXMP;1680;118;5.55;45.7833
31;01;culoz;CULOZ;culoz;Culoz;C420;KLS;1350;2909;5.78333;45.85
32;01;mantenay-montlin;MANTENAY-MONTLIN;mantenay montlin;Mantenay-Montlin;M35345;MNTNMNTLN;1560;288;5.08333;46.4167
33;01;marboz;MARBOZ;marboz;Marboz;M612;MRBS;1851;2182;5.25;46.3333
34;01;foissiat;FOISSIAT;foissiat;Foissiat;F230;FST;1340;1912;5.18333;46.3667
35;01;treffort-cuisiat;TREFFORT-CUISIAT;treffort cuisiat;Treffort-Cuisiat;T616323;TRFRTKXT;1370;2204;5.36834;46.2714
36;01;izieu;IZIEU;izieu;Izieu;I200;IS;1300;201;5.63333;45.65
37;01;saint-etienne-du-bois-01;SAINT-ETIENNE-DU-BOIS;saint etienne du bois;Saint-Étienne-du-Bois;S535312;SNTTNTBS;1370;2441;5.28333;46.2833
38;01;hauteville-lompnes;HAUTEVILLE-LOMPNES;hauteville lompnes;Hauteville-Lompnes;H3145152;HTFLLMPNS;1110;4044;5.6;45.9667
39;01;saint-trivier-sur-moignans;SAINT-TRIVIER-SUR-MOIGNANS;saint trivier sur moignans;Saint-Trivier-sur-Moignans;S53616265252;SNTTRFRSRMKNNS;1990;1877;4.9;46.0667
40;01;peyriat;PEYRIAT;peyriat;Peyriat;P630;PRT;1430;171;5.51667;46.15
41;01;evosges;EVOSGES;evosges;Évosges;E120;EFSJS;1230;140;5.5;45.9583
42;01;poncin;PONCIN;poncin;Poncin;P525;PNSN;1450;1644;5.4;46.0833
43;01;crans-01;CRANS;crans;Crans;C652;KRNS;1320;269;5.21667;45.9667
44;01;montreal-la-cluse;MONTREAL-LA-CLUSE;montreal la cluse;Montréal-la-Cluse;M364242;MNTRLLKLS;1460;3457;5.57084;46.1867
45;01;cleyzieu;CLEYZIEU;cleyzieu;Cleyzieu;C420;KLS;1230;135;5.43333;45.9
46;01;lompnieu;LOMPNIEU;lompnieu;Lompnieu;L515;LMPN;1260;122;5.65;45.9667
47;01;villereversure;VILLEREVERSURE;villereversure;Villereversure;V461626;FLRFRSR;1250;1208;5.38333;46.1833
48;01;saint-martin-du-mont-01;SAINT-MARTIN-DU-MONT;saint martin du mont;Saint-Martin-du-Mont;S535635353;SNTMRTNTMNT;1160;1651;5.33333;46.1
